title,author,year,citation_count,open_access,date,abstract,_title_norm,_citations,_text,lda_topic,bertopic_topic,sim_peer_interaction,sim_interpersonal_communication,sim_social_connectedness,sim_human_ai_relationship,sim_social_behavior,social_max_similarity,social_mean_similarity
Technology for introducing students to possibilities of ChatGPT and Midjourney as educational tools,Anna V. Koroleva,2024,0,NOT Open Access,2024-01-01,,technology for introducing students to possibilities of chatgpt and midjourney as educational tools,0,Technology for introducing students to possibilities of ChatGPT and Midjourney as educational tools.,1,8,0.4578262,0.42258906,0.17064375,0.14028366,0.3112325,0.4578262,0.30051503
Beyond the Bot: ChatGPT's Influence on Student Learning,Ahmed Azmi|Ismail Maakip|Peter Voo|Nurul Hudani Mohd Nawi|Dg Norizah Ag Kiflee Dzulkifli|Murnizam Halik|Sanen Marshall|Weı Boon Quah,2024,2,Open Access,2024-09-22,"Given the widespread use of ChatGPT among university students, questions arise about its potential benefits and drawbacks. This study aims to explore the challenges and impacts of ChatGPT on the future of higher education. Using qualitative research methods, data were collected from semi-structured interviews. A thematic analysis approach was employed. Findings revealed that most students learned about ChatGPT primarily through social media, followed by friends and lecturers. While students acknowledged ChatGPT's ability to simplify and filter information, aiding in their understanding of topics, they also expressed concerns about increased dependency, potential laziness, and a decline in writing and critical thinking skills. Furthermore, students felt that ChatGPT could not replace higher education or lecturers due to its lack of emotional understanding. They also emphasized the impracticality of banning its use. Instead, they suggested that universities should explore ways to regulate its use, with specific recommendations discussed in the article. Lastly, students recognized the importance of learning to use ChatGPT, citing potential job requirements and their utility in assisting with assignments and learning.",beyond the bot chatgpt s influence on student learning,2,"Beyond the Bot: ChatGPT's Influence on Student Learning. Given the widespread use of ChatGPT among university students, questions arise about its potential benefits and drawbacks. This study aims to explore the challenges and impacts of ChatGPT on the future of higher education. Using qualitative research methods, data were collected from semi-structured interviews. A thematic analysis approach was employed. Findings revealed that most students learned about ChatGPT primarily through social media, followed by friends and lecturers. While students acknowledged ChatGPT's ability to simplify and filter information, aiding in their understanding of topics, they also expressed concerns about increased dependency, potential laziness, and a decline in writing and critical thinking skills. Furthermore, students felt that ChatGPT could not replace higher education or lecturers due to its lack of emotional understanding. They also emphasized the impracticality of banning its use. Instead, they suggested that universities should explore ways to regulate its use, with specific recommendations discussed in the article. Lastly, students recognized the importance of learning to use ChatGPT, citing potential job requirements and their utility in assisting with assignments and learning.",3,-1,0.38921785,0.4574862,0.2990213,0.13786748,0.3402366,0.4574862,0.32476586
Exploring the Process of ChatGPT Acceptance among University Students Based on the Theory of Planned Behavior,Juyeong Yeom|Innwoo Park,2024,1,NOT Open Access,2024-02-29,,exploring the process of chatgpt acceptance among university students based on the theory of planned behavior,1,Exploring the Process of ChatGPT Acceptance among University Students Based on the Theory of Planned Behavior.,2,8,0.36358553,0.41494012,0.30659106,0.13763383,0.45720622,0.45720622,0.33599135
Latent profiles of instrumental and relational generative AI engagement among university students,XiaCheng Song|Lu Sun|Huafeng Qu|Jing Jin|Junfeng Zhu|Xiqiong Yi|Huirong Huang,2026,0,Open Access,2026-08-11,"This study examines how university students engage with generative AI (GenAI) across instrumental and relational domains using two independent, domain-specific exploratory surveys of Chinese university students (Study 1: N = 517; Study 2: N = 508). Study 1 assessed instrumental indicators, including agency, delegation/offloading, trust/adoption, and perceived gains, whereas Study 2 assessed relational indicators, including anthropomorphism, emotional safety/control, disclosure/reliance, and displacement/withdrawal. Latent profile analysis identified two profiles in each study. In Study 1, “Augmented Users” showed higher endorsement of agency, trust, gains, and delegation than “Limited Users.” In Study 2, “Attached Users” showed higher endorsement of anthropomorphism, emotional safety, disclosure, and displacement/withdrawal than “Uninvolved Users,” and also reported higher loneliness and slightly lower social satisfaction. Because the two studies used independent samples and different indicators, the findings should be interpreted as separate domain-specific profile analyses rather than a direct test of a unified person-level typology. The study provides exploratory person-centered evidence for differentiating instrumental and relational patterns of GenAI engagement in higher education.",latent profiles of instrumental and relational generative ai engagement among university students,0,"Latent profiles of instrumental and relational generative AI engagement among university students. This study examines how university students engage with generative AI (GenAI) across instrumental and relational domains using two independent, domain-specific exploratory surveys of Chinese university students (Study 1: N = 517; Study 2: N = 508). Study 1 assessed instrumental indicators, including agency, delegation/offloading, trust/adoption, and perceived gains, whereas Study 2 assessed relational indicators, including anthropomorphism, emotional safety/control, disclosure/reliance, and displacement/withdrawal. Latent profile analysis identified two profiles in each study. In Study 1, “Augmented Users” showed higher endorsement of agency, trust, gains, and delegation than “Limited Users.” In Study 2, “Attached Users” showed higher endorsement of anthropomorphism, emotional safety, disclosure, and displacement/withdrawal than “Uninvolved Users,” and also reported higher loneliness and slightly lower social satisfaction. Because the two studies used independent samples and different indicators, the findings should be interpreted as separate domain-specific profile analyses rather than a direct test of a unified person-level typology. The study provides exploratory person-centered evidence for differentiating instrumental and relational patterns of GenAI engagement in higher education.",6,-1,0.2667485,0.37417737,0.4012499,0.4569279,0.40863314,0.4569279,0.38154736
The Investigation of the Difference in Post-Speaking Anxiety of the Learners with Peers and ChatGPT,Kadriye Dilek Bacanak|Sara Ghanbarzadeh,2025,0,Open Access,2025-11-24,"Learning a foreign language both as a means of communication and as a cultural endeavor to understand and perceive cultural varieties and difference has become one of the main means of contact and communication among human beings.Considering the difficulties and complexities that learners might face while learning a foreign language, there have been many resources available and studies that have investigated the possible ways that might decrease those unsatisfactory effects.To this end, this study aims to investigate the anxiety level that learners experience while talking to ChatGPT and the conversation they have to their peers.The participants of the study are 28 university students who are all B1 level according to the standardized placement test.These participants are divided into experimental and control groups.Control group participants conducted the conversation to peers and experimental group ones conducted the talk to ChatGPT.The results of the analysis of the study revealed that the experimental group participants had less anxiety compared to the control group participants.The interview results which was conducted by experimental group participants also supported the same results with reduction in the anxiety level",the investigation of the difference in post speaking anxiety of the learners with peers and chatgpt,0,"The Investigation of the Difference in Post-Speaking Anxiety of the Learners with Peers and ChatGPT. Learning a foreign language both as a means of communication and as a cultural endeavor to understand and perceive cultural varieties and difference has become one of the main means of contact and communication among human beings.Considering the difficulties and complexities that learners might face while learning a foreign language, there have been many resources available and studies that have investigated the possible ways that might decrease those unsatisfactory effects.To this end, this study aims to investigate the anxiety level that learners experience while talking to ChatGPT and the conversation they have to their peers.The participants of the study are 28 university students who are all B1 level according to the standardized placement test.These participants are divided into experimental and control groups.Control group participants conducted the conversation to peers and experimental group ones conducted the talk to ChatGPT.The results of the analysis of the study revealed that the experimental group participants had less anxiety compared to the control group participants.The interview results which was conducted by experimental group participants also supported the same results with reduction in the anxiety level",7,2,0.35235783,0.45637155,0.24186096,0.20824984,0.31251895,0.45637155,0.31427184
Exploring Students’ Voices on The Use of Chatgpt as A Speaking Partner in English Practice,Vivi Ayu Lestari|Anwar Hilman|Arif Budimansyah Purba|Ahmad Najib Mutawally|Rizki Teja Pratama|Iksan Khasani|Ludovikus|Deden Moh Alfiansyah|Deliana Febriani|Inpresta Natalia|Sekarlita Indriani|Cepi Indra Grahana|Juni Adi Putra,2026,0,Open Access,2026-01-27,"This study investigates university students’ perceptions of ChatGPT as a speaking partner in English-speaking practice. Employing a qualitative research design, the study involved English major students at Horizon University Indonesia who engaged in ChatGPT-assisted speaking activities for four weeks. Data were collected through semi-structured interviews and reflective journals and analyzed using thematic analysis to examine students’ perceptions, perceived benefits and challenges, and the impact of ChatGPT on their motivation and speaking confidence. The findings reveal that students generally perceived ChatGPT as a helpful, accessible, and non-judgmental speaking partner. Its use provided increased opportunities for speaking practice, facilitated vocabulary development, and offered immediate feedback, which contributed positively to students’ motivation and confidence. Nevertheless, challenges were identified, including limited emotional interaction, occasional unnatural responses, and difficulties in sustaining extended contextual conversations. Overall, the study concludes that ChatGPT can function as an effective supplementary tool in English-speaking practice, particularly when integrated with appropriate pedagogical guidance to support EFL learners’ oral communication in higher education.",exploring students voices on the use of chatgpt as a speaking partner in english practice,0,"Exploring Students’ Voices on The Use of Chatgpt as A Speaking Partner in English Practice. This study investigates university students’ perceptions of ChatGPT as a speaking partner in English-speaking practice. Employing a qualitative research design, the study involved English major students at Horizon University Indonesia who engaged in ChatGPT-assisted speaking activities for four weeks. Data were collected through semi-structured interviews and reflective journals and analyzed using thematic analysis to examine students’ perceptions, perceived benefits and challenges, and the impact of ChatGPT on their motivation and speaking confidence. The findings reveal that students generally perceived ChatGPT as a helpful, accessible, and non-judgmental speaking partner. Its use provided increased opportunities for speaking practice, facilitated vocabulary development, and offered immediate feedback, which contributed positively to students’ motivation and confidence. Nevertheless, challenges were identified, including limited emotional interaction, occasional unnatural responses, and difficulties in sustaining extended contextual conversations. Overall, the study concludes that ChatGPT can function as an effective supplementary tool in English-speaking practice, particularly when integrated with appropriate pedagogical guidance to support EFL learners’ oral communication in higher education.",7,2,0.4235137,0.45620966,0.25084376,0.15789586,0.303748,0.45620966,0.31844217
"AI Dependency and Student Well-Being: The Moderating Role of Personality Traits in Social, Psychological, and Educational Outcomes",Laiba Rehman Rehman|Asma Bashir,2026,0,Open Access,2026-06-26,"Artificial intelligence (AI) tools like ChatGPT, Copilot, and Gemini have significantly transformed how university students learn, write papers, conduct research, and manage academic stress. While these benefits are evident, concerns about over-reliance on AI and its social, psychological (self-esteem), and educational impacts remain. This study examined the relationship between AI dependency and the social, psychological, and educational challenges faced by university students. It also explored the Big Five personality traits as moderators to assess how they influence the relationship between AI dependency and students’ challenges in Pakistan. The quantitative phase (N = 350) used survey data, including the GenAI Dependency Scale, the Big Five Inventory, the Social Connectedness Scale, the Rosenberg Self-Esteem Scale, and the Educational Stress Scale for Adolescents. Findings indicated that AI dependency was negatively associated with social connectedness (r = -.219, p < .001) and positively associated with educational stress (r = .325, p < .001), with a less significant relation to self-esteem. Additionally, agreeableness moderated the relationship between AI and social connectedness, while multiple personality traits moderated the relationship between AI and self-esteem. The results highlight AI's dual role as an academic aid and a potential source of disengagement. Recommendations are provided for students, teachers, counselors, universities, and policymakers to promote responsible, balanced, and psychologically healthy use of AI in higher education.",ai dependency and student well being the moderating role of personality traits in social psychological and educational outcomes,0,"AI Dependency and Student Well-Being: The Moderating Role of Personality Traits in Social, Psychological, and Educational Outcomes. Artificial intelligence (AI) tools like ChatGPT, Copilot, and Gemini have significantly transformed how university students learn, write papers, conduct research, and manage academic stress. While these benefits are evident, concerns about over-reliance on AI and its social, psychological (self-esteem), and educational impacts remain. This study examined the relationship between AI dependency and the social, psychological, and educational challenges faced by university students. It also explored the Big Five personality traits as moderators to assess how they influence the relationship between AI dependency and students’ challenges in Pakistan. The quantitative phase (N = 350) used survey data, including the GenAI Dependency Scale, the Big Five Inventory, the Social Connectedness Scale, the Rosenberg Self-Esteem Scale, and the Educational Stress Scale for Adolescents. Findings indicated that AI dependency was negatively associated with social connectedness (r = -.219, p < .001) and positively associated with educational stress (r = .325, p < .001), with a less significant relation to self-esteem. Additionally, agreeableness moderated the relationship between AI and social connectedness, while multiple personality traits moderated the relationship between AI and self-esteem. The results highlight AI's dual role as an academic aid and a potential source of disengagement. Recommendations are provided for students, teachers, counselors, universities, and policymakers to promote responsible, balanced, and psychologically healthy use of AI in higher education.",5,7,0.25569877,0.37856126,0.4557303,0.4471692,0.36647183,0.4557303,0.38072628
EXPLORING THE EFFECTIVENESS OF CHATGPT AS A CONVERSATIONAL PARTNER ON EFL STUDENT’S SPEAKING SKILLS: A QUASI-EXPERIMENTAL STUDY IN INDONESIA HIGHER EDUCATION,Zalfa Cabrina Maharani|Bambang Eko Siagiyanto|Refai Refai,2025,0,Open Access,2025-10-26,"This study explores the effectiveness of ChatGPT in enhancing the speaking skills of EFL undergraduate students in the Hospital Administration program at Universitas Muhammadiyah Metro. A quasi-experimental research design was employed, involving 42 first-semester students divided into two groups: 21 students in ARS 1 as the experimental group and 21 students in ARS 2 as the control group. The experimental group received treatment using specific prompts designed to initiate conversations with ChatGPT. Data were collected through oral tests conducted before and after the intervention (pre-test and post-test). The results indicate a statistically significant improvement in the speaking skills of students in the experimental group. Hypothesis testing showed a significant value of <0.000 for the first hypothesis and 0.004 for the second, both below the threshold of 0.05, indicating that the alternative hypotheses were accepted. In conclusion, the use of ChatGPT had a positive and significant effect on improving the speaking skills of EFL students in the Hospital Administration program. The results highlight the potential of ChatGPT to supplement classroom speaking activities, while contributing to research on AI in EFL learning.",exploring the effectiveness of chatgpt as a conversational partner on efl student s speaking skills a quasi experimental study in indonesia higher education,0,"EXPLORING THE EFFECTIVENESS OF CHATGPT AS A CONVERSATIONAL PARTNER ON EFL STUDENT’S SPEAKING SKILLS: A QUASI-EXPERIMENTAL STUDY IN INDONESIA HIGHER EDUCATION. This study explores the effectiveness of ChatGPT in enhancing the speaking skills of EFL undergraduate students in the Hospital Administration program at Universitas Muhammadiyah Metro. A quasi-experimental research design was employed, involving 42 first-semester students divided into two groups: 21 students in ARS 1 as the experimental group and 21 students in ARS 2 as the control group. The experimental group received treatment using specific prompts designed to initiate conversations with ChatGPT. Data were collected through oral tests conducted before and after the intervention (pre-test and post-test). The results indicate a statistically significant improvement in the speaking skills of students in the experimental group. Hypothesis testing showed a significant value of <0.000 for the first hypothesis and 0.004 for the second, both below the threshold of 0.05, indicating that the alternative hypotheses were accepted. In conclusion, the use of ChatGPT had a positive and significant effect on improving the speaking skills of EFL students in the Hospital Administration program. The results highlight the potential of ChatGPT to supplement classroom speaking activities, while contributing to research on AI in EFL learning.",9,2,0.35543838,0.45466173,0.13667077,0.09720444,0.2812974,0.45466173,0.26505452
What Drives University Students to Use ChatGPT for Translation? Disciplinary and Experiential Influences,Lulu Wang|Simin Xu|Kanglong Liu,2025,4,NOT Open Access,2025-08-20,,what drives university students to use chatgpt for translation disciplinary and experiential influences,4,What Drives University Students to Use ChatGPT for Translation? Disciplinary and Experiential Influences.,3,8,0.33690178,0.454548,0.23938346,0.12488739,0.32853144,0.454548,0.29685038
Beyond Intelligence Quotient in the Artificial Intelligence Era,Tzu-Chin Rejoice Chou,2026,0,Open Access,2026-07-24,"As generative artificial intelligence (AI) is increasingly incorporated into higher education, renewed attention is required to understand how human capabilities are conceptualized relative to AI. This study has two aims. First, it examines the psychometric properties of the second edition of the Eight Multiple Intelligences Questionnaire among Taiwanese university students. Second, the study explores students' perceptions of human-AI strengths across intelligence domains. Data were collected from 936 students at a private university in Taiwan. Exploratory factor analysis supported an eight-factor structure, explaining 80.34% of the total variance. Reliability was satisfactory, with Cronbach's α and composite reliability greater than .90. Students perceived AI as stronger in linguistic, logical-mathematical, and spatial domains, while humans were viewed as stronger in interpersonal, intrapersonal, bodily-kinesthetic, naturalistic, and existential domains. These findings support the instrument while clarifying human-AI capability boundaries. The results offer implications for designing AI-assisted, human-led courses and online pedagogy.",beyond intelligence quotient in the artificial intelligence era,0,"Beyond Intelligence Quotient in the Artificial Intelligence Era. As generative artificial intelligence (AI) is increasingly incorporated into higher education, renewed attention is required to understand how human capabilities are conceptualized relative to AI. This study has two aims. First, it examines the psychometric properties of the second edition of the Eight Multiple Intelligences Questionnaire among Taiwanese university students. Second, the study explores students' perceptions of human-AI strengths across intelligence domains. Data were collected from 936 students at a private university in Taiwan. Exploratory factor analysis supported an eight-factor structure, explaining 80.34% of the total variance. Reliability was satisfactory, with Cronbach's α and composite reliability greater than .90. Students perceived AI as stronger in linguistic, logical-mathematical, and spatial domains, while humans were viewed as stronger in interpersonal, intrapersonal, bodily-kinesthetic, naturalistic, and existential domains. These findings support the instrument while clarifying human-AI capability boundaries. The results offer implications for designing AI-assisted, human-led courses and online pedagogy.",5,-1,0.17124134,0.33297595,0.17508388,0.45426452,0.23903325,0.45426452,0.27451977
"Structural Analysis of University Students' Dependency on ChatGPT: The Role of Positive Perception, Creative Self-Beliefs, and Student Agency",Hwasun Lee|Hyunju Park|Jin-Su Jeong|Sungyoun Choi,2024,1,NOT Open Access,2024-12-31,,structural analysis of university students dependency on chatgpt the role of positive perception creative self beliefs and student agency,1,"Structural Analysis of University Students' Dependency on ChatGPT: The Role of Positive Perception, Creative Self-Beliefs, and Student Agency.",5,8,0.3145732,0.4538089,0.37394738,0.19249831,0.4035223,0.4538089,0.34767002
Exploring the efficacy of ChatGPT's audio features in language learning,Steven MacWhinnie,2025,0,Open Access,2025-08-23,"With the increased interest in integrating artificial intelligence (AI) into language education, this mixed-method study explored the use of ChatGPT's audio functionality to enhance Japanese students' oral communication skills. Japanese university students often complain that they have little chance to practice their English skills. To address this issue, the following research question was devised: Can ChatGPT effectively serve as a conversation partner for Japanese students aiming to improve their oral communication skills? Students participated in interactive sessions with ChatGPT, where they were required to interact through the speech-to-text function of the ChatGPT smartphone app. Following this, the students were given a reflective survey to draw out students’ opinions on, and feelings about, their interactions. The results of this study indicate that while students have a generally positive attitude towards the use of Chatbots, there are concerns about privacy and ethical use.",exploring the efficacy of chatgpt s audio features in language learning,0,"Exploring the efficacy of ChatGPT's audio features in language learning. With the increased interest in integrating artificial intelligence (AI) into language education, this mixed-method study explored the use of ChatGPT's audio functionality to enhance Japanese students' oral communication skills. Japanese university students often complain that they have little chance to practice their English skills. To address this issue, the following research question was devised: Can ChatGPT effectively serve as a conversation partner for Japanese students aiming to improve their oral communication skills? Students participated in interactive sessions with ChatGPT, where they were required to interact through the speech-to-text function of the ChatGPT smartphone app. Following this, the students were given a reflective survey to draw out students’ opinions on, and feelings about, their interactions. The results of this study indicate that while students have a generally positive attitude towards the use of Chatbots, there are concerns about privacy and ethical use.",3,2,0.3204416,0.45290554,0.11315648,0.27091032,0.23720902,0.45290554,0.2789246
Analysis of the Impact of ChatGPT Technology on College Students,Xiaoning Nie,2024,0,Open Access,2024-08-01,"With the rapid development of artificial intelligence (AI) technology, chatbots have become a part of people's lives. Among them, ChatGPT, as a powerful natural language processing tool, has been gradually applied in various fields. Especially in the field of education, the emergence of ChatGPT provides university students with a new way of learning and communication channels and brings them unprecedented opportunities and challenges. This paper aims to explore the opportunities and challenges faced by university students in the context of ChatGPT, to provide useful references for students to better adapt and utilize this technology.",analysis of the impact of chatgpt technology on college students,0,"Analysis of the Impact of ChatGPT Technology on College Students. With the rapid development of artificial intelligence (AI) technology, chatbots have become a part of people's lives. Among them, ChatGPT, as a powerful natural language processing tool, has been gradually applied in various fields. Especially in the field of education, the emergence of ChatGPT provides university students with a new way of learning and communication channels and brings them unprecedented opportunities and challenges. This paper aims to explore the opportunities and challenges faced by university students in the context of ChatGPT, to provide useful references for students to better adapt and utilize this technology.",3,-1,0.3192845,0.45230842,0.146612,0.23285691,0.2587452,0.45230842,0.28196138
The Impact of Chat GPT on Cognitive Functions of University Students,A. (Anastasiya) Brovko,2024,0,NOT Open Access,2024-02-01,,the impact of chat gpt on cognitive functions of university students,0,The Impact of Chat GPT on Cognitive Functions of University Students.,3,8,0.33501977,0.45216215,0.20962983,0.12868142,0.31734657,0.45216215,0.28856796
"Investigating the relationships between university students’ generative AI attitude, generative AI acceptance, transactional distance, engagement and motivation",Fatma Gizem Karaoğlan Yılmaz|Ahmet Üstün|Ramazan Yilmaz|Hatice Uzun,2026,4,NOT Open Access,2026-03-19,,investigating the relationships between university students generative ai attitude generative ai acceptance transactional distance engagement and motivation,4,"Investigating the relationships between university students’ generative AI attitude, generative AI acceptance, transactional distance, engagement and motivation.",5,5,0.25434026,0.34315515,0.26897907,0.45189303,0.34453106,0.45189303,0.3325797
University Students’ Self-Esteem and GAI Dependency: Multiple Mediating Roles of Academic Anxiety and Perceived Usefulness,Yihan Chen|Tingen Chen|Shengping Yang|Sixuan Yang|Wenxing Yan|Xi Zeng|Kaiwen Zhang|Weizhong Zhang,2025,3,NOT Open Access,2025-11-19,,university students self esteem and gai dependency multiple mediating roles of academic anxiety and perceived usefulness,3,University Students’ Self-Esteem and GAI Dependency: Multiple Mediating Roles of Academic Anxiety and Perceived Usefulness.,5,7,0.29173696,0.35208568,0.45158887,0.23620273,0.4049553,0.45158887,0.3473139
Exploring Public University Undergraduate Students’ Experiencing Intention to Use ChatGPT in Academic Purpose: Application of TAM Theory,S. M. Ashraful Alam,2024,1,Open Access,2024-09-11,"This study is all about exploring the public university students’ experiencing intention to use ChatGPT in academic purpose with the application of TAM theory along with new extension like enjoyment, informativeness and privacy and security factors. The study was conducted in Rangpur division, Bangladesh. Total 412 data were found valid after data collection. SPSS and Smart PLS software were applied for analysis of the data with TAM theory. The study result shows that, all the factors except perceived enjoyment impacts positively the attitudes of students. Service providers of ChatGPT should consider this factor carefully so that in future they can update some new feature with ChatGPT that may be enjoyable to the users. Teachers of the university should be careful while examining students’ different assignments and projects whether they are not directly copied from ChatGPT or not. Future studies can be with other factors with the existing factors and mediation can also be done by the researchers for further study. School and college level students may be considered for this type of study and the sample size should be larger for better result.",exploring public university undergraduate students experiencing intention to use chatgpt in academic purpose application of tam theory,1,"Exploring Public University Undergraduate Students’ Experiencing Intention to Use ChatGPT in Academic Purpose: Application of TAM Theory. This study is all about exploring the public university students’ experiencing intention to use ChatGPT in academic purpose with the application of TAM theory along with new extension like enjoyment, informativeness and privacy and security factors. The study was conducted in Rangpur division, Bangladesh. Total 412 data were found valid after data collection. SPSS and Smart PLS software were applied for analysis of the data with TAM theory. The study result shows that, all the factors except perceived enjoyment impacts positively the attitudes of students. Service providers of ChatGPT should consider this factor carefully so that in future they can update some new feature with ChatGPT that may be enjoyable to the users. Teachers of the university should be careful while examining students’ different assignments and projects whether they are not directly copied from ChatGPT or not. Future studies can be with other factors with the existing factors and mediation can also be done by the researchers for further study. School and college level students may be considered for this type of study and the sample size should be larger for better result.",3,3,0.3715317,0.45152336,0.29686368,0.17924616,0.41773522,0.45152336,0.34338003
Fostering Student Engagement and Learning Perception Through Socratic Dialogue with ChatGPT: A Case Study in Physics Education,Ayax Santos-Guevara|Osvaldo Aquines-Gutiérrez|H. Martínez-Huerta|Wendy Xiomara Chavarría-Garza|José Antonio Azuela,2026,4,Open Access,2026-01-24,"This classroom-based case study examines how an AI-mediated Socratic dialogue, implemented through ChatGPT, can support students’ engagement and perceived learning in undergraduate thermodynamics. Conducted in a first-year engineering physics course at a private university in northern Mexico, the activity invited small student groups to interact with structured prompts designed to promote inquiry, collaboration, and reflective reasoning about the adiabatic process. Rather than functioning as a source of answers, ChatGPT was intentionally positioned as a mediating scaffold for Socratic questioning, prompting students to articulate, examine, and refine their reasoning. A mixed-methods approach was employed, combining a 10-item Likert-scale survey with construct-level statistical analysis of two focal dimensions: perception of learning and engagement, including an exploratory comparison by gender. Results indicated consistently high levels of perceived learning and engagement across the cohort, with average scores above 4.5 out of 5. At the construct level, no statistically significant gender differences were observed, although a single item revealed higher perceived learning among female students. Overall, the findings suggest that the educational value of ChatGPT in this context emerged from its integration within a Socratic, inquiry-oriented pedagogical design, rather than from the technology alone. These results contribute to ongoing discussions on the responsible and pedagogically grounded integration of generative AI in physics education and align with Sustainable Development Goal 4 (Quality Education).",fostering student engagement and learning perception through socratic dialogue with chatgpt a case study in physics education,4,"Fostering Student Engagement and Learning Perception Through Socratic Dialogue with ChatGPT: A Case Study in Physics Education. This classroom-based case study examines how an AI-mediated Socratic dialogue, implemented through ChatGPT, can support students’ engagement and perceived learning in undergraduate thermodynamics. Conducted in a first-year engineering physics course at a private university in northern Mexico, the activity invited small student groups to interact with structured prompts designed to promote inquiry, collaboration, and reflective reasoning about the adiabatic process. Rather than functioning as a source of answers, ChatGPT was intentionally positioned as a mediating scaffold for Socratic questioning, prompting students to articulate, examine, and refine their reasoning. A mixed-methods approach was employed, combining a 10-item Likert-scale survey with construct-level statistical analysis of two focal dimensions: perception of learning and engagement, including an exploratory comparison by gender. Results indicated consistently high levels of perceived learning and engagement across the cohort, with average scores above 4.5 out of 5. At the construct level, no statistically significant gender differences were observed, although a single item revealed higher perceived learning among female students. Overall, the findings suggest that the educational value of ChatGPT in this context emerged from its integration within a Socratic, inquiry-oriented pedagogical design, rather than from the technology alone. These results contribute to ongoing discussions on the responsible and pedagogically grounded integration of generative AI in physics education and align with Sustainable Development Goal 4 (Quality Education).",6,-1,0.45127296,0.36791575,0.20754895,0.24729922,0.34272456,0.45127296,0.32335228
Human–AI Co-intelligence in higher education: reframing student agency and learning strategies among Taiwanese undergraduates in the ChatGPT era,Kuo‐Ming Chu|Hui-Chun Chan,2026,0,NOT Open Access,2026-04-25,,human ai co intelligence in higher education reframing student agency and learning strategies among taiwanese undergraduates in the chatgpt era,0,Human–AI Co-intelligence in higher education: reframing student agency and learning strategies among Taiwanese undergraduates in the ChatGPT era.,6,-1,0.32331258,0.45099148,0.17221665,0.32714462,0.30511415,0.45099148,0.3157559
"Exploring the Role of EFL Teachers' Interpersonal Behaviours in Students' Behavioural, Cognitive, and Emotional Engagement With GenAI: A PLS‐SEM Approach",Weili Xing|Mark Feng Teng,2026,3,Open Access,2026-01-03,"ABSTRACT The present study investigates how EFL teachers' interpersonal behaviours (TIB)—autonomy support, structure (competence support), and involvement (relatedness support)—predict students' behavioural, cognitive, and emotional engagement in generative artificial intelligence (GenAI)‐mediated classrooms through the lens of Self Determination Theory (SDT). Survey data from 385 Chinese undergraduates were analysed using partial least squares structural equation modelling (PLS‐SEM). Results demonstrate that autonomy support and involvement consistently predict behavioural, cognitive, and emotional engagement, while structure primarily predicts behavioural and cognitive domains. With the structural model explaining 45% of the variance in engagement ( R 2 ≈ 0.45), the findings reaffirm that the motivational climate fostered by teachers remains indispensable despite the affordances of GenAI tools. This study extends SDT‐based research by revealing that teacher support mechanisms are recalibrated, not replaced, in GenAI‐enhanced classrooms, and highlights the enduring importance of human relational dynamics alongside technological innovation. The results emphasise the need for professional development that integrates GenAI literacy with interpersonal skills to help teachers sustain engagement and optimise learning in evolving educational environments.",exploring the role of efl teachers interpersonal behaviours in students behavioural cognitive and emotional engagement with genai a pls sem approach,3,"Exploring the Role of EFL Teachers' Interpersonal Behaviours in Students' Behavioural, Cognitive, and Emotional Engagement With GenAI: A PLS‐SEM Approach. ABSTRACT The present study investigates how EFL teachers' interpersonal behaviours (TIB)—autonomy support, structure (competence support), and involvement (relatedness support)—predict students' behavioural, cognitive, and emotional engagement in generative artificial intelligence (GenAI)‐mediated classrooms through the lens of Self Determination Theory (SDT). Survey data from 385 Chinese undergraduates were analysed using partial least squares structural equation modelling (PLS‐SEM). Results demonstrate that autonomy support and involvement consistently predict behavioural, cognitive, and emotional engagement, while structure primarily predicts behavioural and cognitive domains. With the structural model explaining 45% of the variance in engagement ( R 2 ≈ 0.45), the findings reaffirm that the motivational climate fostered by teachers remains indispensable despite the affordances of GenAI tools. This study extends SDT‐based research by revealing that teacher support mechanisms are recalibrated, not replaced, in GenAI‐enhanced classrooms, and highlights the enduring importance of human relational dynamics alongside technological innovation. The results emphasise the need for professional development that integrates GenAI literacy with interpersonal skills to help teachers sustain engagement and optimise learning in evolving educational environments.",2,7,0.2714158,0.32510865,0.293221,0.45066902,0.34492993,0.45066902,0.3370689
